Title,Korean_Title,Release_Year,Episodes,Special_Episodes,Status,Genre_1,Genre_2,Genre_3,Setting,Female_Lead_Type,Male_Lead_Type,Trope_1,Trope_2,Trope_3,Trope_4,Platform_1,Platform_2,Availability_Type,Schedule,Rating,Rating_Count,Popularity,Studio,Similar_To_1,Similar_To_2
Crash Landing on You,사랑의 불시착,2019,16,0,Completed,Rom-Com,Melodrama,Political Romance,"North Korea, Seoul","Independent, wealthy South Korean Chaebol heiress","Stoic, honorable North Korean military captain",Star-crossed lovers,fish out of water,found family,,Netflix,,Subscription,Full season available,8.7,45k+,Top 10 global Netflix hit,tvN / Studio Dragon,Descendants of the Sun,Goblin
Queen of Tears,눈물의 여왕,2024,16,0,Completed,Romance,Business Melodrama,Dark Comedy,"Seoul (Queens Group HQ), Yongdu-ri village","Cold, terminally ill department store 'Queen'","Intelligent, emotionally isolated small-town lawyer",Marriage crisis,terminal illness,second-chance romance,,Netflix,,Subscription,Full season available,8.3,18k+,Highest-rated tvN drama in history,tvN / Studio Dragon,Crash Landing on You,It's Okay to Not Be Okay
Goblin (Guardian),쓸쓸하고 찬란하神 - 도깨비,2016,16,3,Completed,Fantasy Romance,Supernatural,Epic Drama,"Modern Seoul, Historical Goryeo, Quebec City",Bright high school student who sees ghosts,"Immortal, centuries-old mystical Goblin",Reincarnation,destiny,immortal x mortal,bromance,Netflix,Viki,Subscription / Viki Free Ads,Full season available,8.6,32k+,Global cultural phenomenon,tvN / Hwa&Dam Pictures,Hotel Del Luna,Tale of the Nine Tailed
Descendants of the Sun,태양의 후예,2016,16,3,Completed,Military Romance,Action,Medical Drama,"Seoul, Urk (fictional Balkan war-zone)","Highly skilled, assertive trauma surgeon","Charming, elite special forces captain",Duty vs. love,life-and-death stakes,natural disasters,,Prime Video,Viki,Subscription,Full season available,8.2,29k+,Sparked a massive pan-Asian Hallyu wave,KBS2 / NEW,Crash Landing on You,Healer
Extraordinary Attorney Woo,이상한 변호사 우영우,2022,16,0,Completed,Legal Drama,Slice of Life,Romance,Seoul (Hanbada Law Firm offices & courtrooms),Genius rookie attorney on the autism spectrum,"Kind, empathetic litigation team employee",Workplace romance,neurodiversity,case-of-the-week,,Netflix,,Subscription,Full season available,8.6,31k+,Dark-horse cable hit turned global viral success,ENA / AStory,Move to Heaven,Good Doctor
Vincenzo,빈센조,2021,20,0,Completed,Dark Comedy,Crime,Legal Thriller,"Seoul (Geumga Plaza), Milan (Italy)","Eccentric, sharp-tongued, money-driven lawyer","Elegant, cold-blooded Italian Mafia consigliere",Anti-heroes,vigilante justice,corporate revenge,,Netflix,,Subscription,Full season available,8.4,28k+,Constant top-10 global performer,tvN / Studio Dragon,The Fiery Priest,Lawless Lawyer
Business Proposal,사내맞선,2022,12,0,Completed,Romantic Comedy,Office Romance,,Seoul (GO Food corporate headquarters),Energetic food researcher posing as a rich friend,"Perfectionist, workaholic corporate CEO",Mistaken identity,fake dating,boss-employee romance,,Netflix,,Subscription,Full season available,8.1,25k+,Reached #1 non-English series worldwide,SBS / Kross Pictures,What's Wrong with Secretary Kim,King the Land
It's Okay to Not Be Okay,사이코지만 괜찮아,2020,16,0,Completed,Psychological Romance,Melodrama,,Seongjin City (OK Psychiatric Hospital),Antisocial children's book author with deep trauma,Exhausted psychiatric ward caregiver,Mental health healing,gothic fairytale vibe,family bonds,,Netflix,,Subscription,Full season available,8.6,32k+,Nominated for an International Emmy Award,tvN / Studio Dragon,Hotel Del Luna,Flower of Evil
Twenty-Five Twenty-One,스물다섯 스물하나,2022,16,0,Completed,Youth Drama,Sports Romance,Coming-of-Age,Seoul and Gyeongju (Late 1990s IMF Crisis era),"Passionate, unyielding high school sabre fencer",Fallen-chaebol son rebuilding life as a reporter,First love,chasing dreams,retro nostalgia,bittersweet,Netflix,,Subscription,Full season available,8.6,23k+,Critically acclaimed retro coming-of-age hit,tvN / Studio Dragon,Reply 1988,Our Beloved Summer
Hometown Cha-Cha-Cha,갯마을 차차차,2021,16,0,Completed,Healing Slice of Life,Rom-Com,,Gongjin (fictional seaside rural coastal village),"City-bred, practical, perfectionist dentist","Warm, multi-talented minimum-wage neighborhood handyman",City girl x country boy,quirky community,healing scars,,Netflix,,Subscription,Full season available,8.4,21k+,Top-rated cable series worldwide,tvN / Studio Dragon,Our Blues,Welcome to Samdal-ri
